Name,Short name,URL name,Tags,Home page,Publication scheme,Disclosure log,Notes,Created at,Updated at,Version
Agência Nacional de Transportes Aquaviários – ANTAQ,ANTAQ,antaq,"",http://www.antaq.gov.br/Portal/default.asp,"","","A Agência Nacional de Transportes Aquaviários - ANTAQ, criada pela Lei nº 10.233, de 5 de junho de 2001, é entidade integrante da Administração Federal indireta, submetida ao regime autárquico especial, com personalidade jurídica de direito público, independência administrativa, autonomia financeira e funcional, mandato fixo de seus dirigentes, vinculada ao Ministírio dos Transportes e a Secretaria de Portos da Presidêcncia da República, com sede e foro no Distrito Federal. Tem as atribuições de implementar, em sua esfera de atuação, as políticas formuladas pelo Ministério dos Transportes e pelo Conselho Nacional de Integração de Políticas de Transporte-CONIT, e de regular, supervisionar e fiscalizar as atividades de prestação de serviços de transporte aquaviário e de exploração da infra-estrutura portuária e aquaviária.",2012-01-16 13:05:25 -0200,2012-01-16 13:05:25 -0200,1
Agência Reguladora de Saneamento e Energia do Estado de São Paulo,ARSESP,arsesp,estadual executivo governo,http://www.arsesp.sp.gov.br/,"","","Endereço: Av. Paulista, 2313 - 4º andar - Consolação - São Paulo - SP - CEP: 01311-300 # Telefone: (11) 3293-0666",2013-03-02 13:41:19 -0300,2013-03-04 14:42:47 -0300,2
Agência Reguladora de Serviços Delegados de Transporte do Estado de São Paulo,ARTESP,artesp,transporte estadual executivo governo,http://www.artesp.sp.gov.br/,"","","Endereço: R. Urussuí, 300 - 6º andar - Ouvidoria - Itaim Bibi - São Paulo - SP - CEP: 04542-051 # Telefone: (11) 3465-2069 / 3465-2240",2013-03-02 13:41:19 -0300,2013-03-04 14:50:38 -0300,2
Banco Central,"",banco_central,federal executivo,http://www.bcb.gov.br,"","","Contato: Gustavo Freire 
Telefone: (61) 3414-3216",2011-10-31 12:45:18 -0200,2011-11-03 10:23:50 -0200,3
Banco do Brasil,"",banco_do_brasil,federal,http://www.bb.com.br,"","","Contato: Assessor do Presidente
Telefone: (61) 3102-4100",2011-10-31 12:45:18 -0200,2011-11-03 10:23:50 -0200,3
BNDES,"",bndes,federal executivo,http://www.bndes.gov.br,"","","Contato: Departamento de Divulgação
Telefone: (21) 2172-8888",2011-10-31 12:45:18 -0200,2011-11-11 12:00:58 -0200,5
Central de Atendimento ao Cidadão do Estado de São Paulo,CAC,cac,governo executivo estadual outros,http://www.arquivoestado.sp.gov.br/saesp_central.php,"","","Endereço: Voluntários da Pátria, 596 - Santana - São Paulo - SP - CEP: # Telefone: (11) 2089-8147",2012-08-08 15:37:19 -0300,2013-03-02 13:41:22 -0300,4
Caixa Beneficiente da Polícia Militar do Estado de São Paulo,"",caixa_beneficiente_da_polcia_militar_do_estado_de_so_paulo,governo executivo estadual,http://www.sic.sp.gov.br,"","","Endereço: R. Alfredo Maia, 218 - Luz - São Paulo - SP - CEP: 01106-010 # Telefone: (11) 3315-3000",2013-03-02 13:41:19 -0300,2013-03-02 13:41:19 -0300,1
Caixa Econômica Federal,"",caixa_econmica_federal,economia bancos,http://www.caixa.gov.br,"","","",2012-05-17 16:33:37 -0300,2012-05-17 16:33:37 -0300,1
Casa Civil da Presidência da República,"",casa_civil_da_presidncia_da_repblica,federal executivo,http://www.presidencia.gov.br,"","","Contato: Luciana Carvalho
Telefone: (61) 3411-1411",2011-10-31 12:45:18 -0200,2011-11-03 10:23:51 -0200,3
Casa Civil do Estado de São Paulo,"",casa_civil_do_estado_de_so_paulo,governo executivo estadual secretaria secretarias,http://www.casacivil.sp.gov.br,"","","Endereço: Av. Morumbi, 4500 - Térreo - Morumbi - São Paulo - SP - CEP: 05650-905 # Telefone: (11) 2193-8344 / 2193-8000",2013-01-22 14:32:18 -0200,2013-03-02 13:41:18 -0300,3
Casa Militar do Estado de São Paulo,"",casa_militar_do_estado_de_so_paulo,secretaria estadual executivo governo,http://www.sp.gov.br,"","","Endereço: Av. Morumbi, 4500 - Palácio dos Bandeirantes - Gabinete - Sala 25 I - Morumbi - São Paulo - SP - CEP: 05650-000 # Telefone: (11) 2193-8574",2013-02-25 16:33:56 -0300,2013-03-02 14:32:27 -0300,2
Companhia de Desenvolvimento Habitacional e Urbano do Estado de São Paulo,CDHU,cdhu,estadual executivo governo,http://www.cdhu.sp.gov.br/,"","","Endereço: R. Boa Vista, 170 - 8º andar bloco 4 - Centro - São Paulo - SP - CEP: 01014-000 # Telefone: (11) 3638-2505 / 3638-2736",2013-03-02 13:41:22 -0300,2013-03-04 15:06:05 -0300,2
Centro de Educação Tecnológica Paula Souza,CEETEPS,ceeteps,estadual executivo governo,http://www.centropaulasouza.sp.gov.br/,"","","Endereço: Pça. Coronel Fernando Prestes, 74 - Térreo - Bom Retiro - São Paulo - SP - CEP: 01124-060 # Telefone: (11) 3327-3053",2013-03-02 13:41:19 -0300,2013-03-04 14:54:19 -0300,2
CET - Companhia de Engenharia de Tráfego (São Paulo),CET SP,cet_sp,estadual transporte executivo,http://www.cetsp.com.br/,"","","Solicitação conforme a Lei de Acesso à Informação, <a alt=""Lei de acesso à informação"" href=""http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/lei/l12527.htm"">lei 12.527 de 18 de novembro de 2011</a>.",2013-03-14 11:28:22 -0300,2013-03-14 14:44:14 -0300,3
Companhia Ambiental do Estado de São Paulo,CETESB,cetesb,estadual executivo governo,http://www.cetesb.sp.gov.br/,"","","Endereço: Av. Professor Frederico Hermann Jr., 345 - Alto de Pinheiros - São Paulo - SP - CEP: 05459-900 # Telefone: (11) 3133-3019",2013-03-02 13:41:22 -0300,2013-03-04 14:59:55 -0300,2
Controladoria-Geral da União,CGU,cgu,federal executivo,http://www.cgu.gov.br,"","","Contato: Gisele Maeda
Telefone: (61) 2020-6740 ",2011-10-31 12:45:19 -0200,2011-11-03 10:23:51 -0200,4
Câmara dos Deputados,"",cmara_dos_deputados,legislativo federal,http://www.camara.gov.br,"","","",2011-11-24 12:14:08 -0200,2011-11-24 12:14:08 -0200,1
Câmara Legislativa do Distrito Federal,"",cmara_legislativa_do_distrito_federal,legislativo estadual,http://www.cl.df.gov.br,"","","",2011-11-08 20:53:29 -0200,2011-11-08 20:53:29 -0200,1
Câmara Municipal de Itupeva - SP,"",cmara_municipal_de_itupeva_sp,municipal legislativo,http://www.camaraitupeva.sp.gov.br/,"","","",2012-03-20 17:02:56 -0300,2012-03-20 17:03:19 -0300,2
Câmara Municipal de Marília,"",cmara_municipal_de_marlia,legislativo municipal,http://www.camar.sp.gov.br,"","","",2012-05-17 15:11:05 -0300,2012-05-17 15:11:05 -0300,1
Câmara Municipal de Sorocaba,"",cmara_municipal_de_sorocaba,municipal legislativo,http://www.camarasorocaba.sp.gov.br,"","","",2012-01-27 16:22:42 -0200,2012-01-27 16:22:42 -0200,1
Companhia de Desenvolvimento Agrícola do Estado de São Paulo,CODASP,codasp,estadual executivo governo,http://www.codasp.sp.gov.br/,"","","Endereço: Av. Miguel Stefáno, 3900 - Água Funda - São Paulo - SP - CEP: 04301-903 # Telefone: (11) 5077-6500",2013-03-02 13:41:22 -0300,2013-03-04 15:04:26 -0300,2
Comando de Policiamento do Interior 8 - Estado de São Paulo,"",comando_de_policiamento_do_interior_8_estado_de_so_paulo,governo executivo estadual,http://www.policiamilitar.sp.gov.br,"","","Endereço: Joaquim Constantino, 351 - Vila Nova Prudente - Presidente Prudente - SP - CEP: # Telefone: (18) 3221-8990",2013-03-02 13:41:23 -0300,2013-03-02 13:41:23 -0300,1
Companhia de Saneamento Básico do Estado de São Paulo,"",companhia_de_saneamento_bsico_do_estado_de_so_paulo,governo executivo estadual,http://www.sabesp.com.br,"","","Endereço: R. Costa Carvalho, 300 - Pinheiros - São Paulo - SP - CEP: 05429-900 # Telefone: (11) 3386-9850",2013-03-02 13:41:22 -0300,2013-03-02 13:41:22 -0300,1
Companhia de Seguros do Estado de São Paulo,"",companhia_de_seguros_do_estado_de_so_paulo,governo executivo estadual economia,http://www.cosespseguros.com.br,"","","Endereço: R. Plamplona, 227 - 16º andar - Bela Vista - São Paulo - SP - CEP: 01405-902 # Telefone: (11) 3254-4823",2013-03-02 13:41:22 -0300,2013-03-02 13:41:22 -0300,1
Companhia Docas de São Sebastião,"",companhia_docas_de_so_sebastio,governo executivo estadual,http://www.portoss.com.br,"","","Endereço: Av. Dr. Autino Arantes, 410 - Centro - São Sebastião - SP - CEP: # Telefone: (12) 3892-1899",2013-03-02 13:41:23 -0300,2013-03-02 13:41:23 -0300,1
Companhia Energética de São Paulo,"",companhia_energtica_de_so_paulo,governo executivo estadual,http://www.cesp.com.br,"","","Endereço: Av. Nossa Senhora do Sabará, 5312 - Escritório 27 - Vila Emir - São Paulo - SP - CEP: # Telefone: (11)- 5613-3422",2013-03-02 13:41:22 -0300,2013-03-02 13:41:22 -0300,1
Companhia Paulista de Eventos e Turismo,"",companhia_paulista_de_eventos_e_turismo,governo executivo estadual,http://www.sic.sp.gov.br,"","","Endereço: R. Bandeira Paulista, 716 - 7º andar - Itaim Bibi - São Paulo - SP - CEP: 04532-002 # Telefone: (11) 3709-5935 / 3709-5936",2013-03-02 13:41:20 -0300,2013-03-02 13:41:20 -0300,1
Companhia Paulista de Parcerias,"",companhia_paulista_de_parcerias,governo executivo estadual economia,http://www.fazenda.sp.gov.br,"","","Endereço: R. Rangel Pestana, 300 - Centro - São Paulo - SP - CEP: # Telefone: (11) 3843-4391",2013-03-02 13:41:22 -0300,2013-03-02 13:41:22 -0300,1
Companhia Paulista de Securitização,"",companhia_paulista_de_securitizao,governo executivo estadual economia,http://www.fazenda.sp.gov.br,"","","Endereço: R. Rangel Pestana, 300 - Centro - São Paulo - SP - CEP: # Telefone: (11) 3843-4391",2013-03-02 13:41:22 -0300,2013-03-02 13:41:22 -0300,1
Companhia Paulista de Transportes Metropolitanos,"",companhia_paulista_de_transportes_metropolitanos,governo executivo estadual transporte,http://www.sic.sp.gov.br,"","","Endereço: R. Boa Vista, 175 - 6 º andar Bloco A - São Paulo - SP - CEP: # Telefone: (11) 3293-4529",2013-03-02 13:41:22 -0300,2013-03-02 13:41:22 -0300,1
Conselho Nacional dos Direitos da Criança e do Adolescente,Conanda,conanda,federal direitoshumanos outros,http://www.sdh.gov.br/clientes/sedh/sedh/conselho/conanda/,"","","Presidência: Maria do Rosário Nunes
Vice-presidência: Miriam Maria José dos Santos
Telefones: (61) 2025-3525 / 3524 / 3534 / 9192 / 3698 / 9689 /9866
Endereço: Setor Comercial Sul - B, Quadra 9, Lote C, Edifício Parque Cidade Corporate, Torre ""A"", 8º andar - Brasília, Distrito Federal | CEP: 70308-200 

",2012-08-06 17:34:42 -0300,2012-08-31 14:14:14 -0300,3
Conselho de Educação do Estado de São Paulo,"",conselho_de_educao_do_estado_de_so_paulo,governo executivo estadual educacao,http://www.sic.sp.gov.br,"","","Endereço: Pça. da República, 53 - 2º Andar Sl 217 - República - São Paulo - SP - CEP: # Telefone: (11) 3255-2044 (ramal 132)",2013-03-02 13:41:23 -0300,2013-03-02 13:41:23 -0300,1
Conselho Nacional de Segurança Alimentar e Nutricional - CONSEA,"",conselho_nacional_de_segurana_alimentar_e_nutricional_consea,federal executivo,http://www.consea.planalto.gov.br,"","","Contato: Marcelo Torres
Telefone: (61) 3411-3279 / 2576",2011-10-31 12:45:19 -0200,2011-11-03 10:23:51 -0200,3
Coordenadoria de Controle de Doenças Instituto Lauro de Souza Lima,"",coordenadoria_de_controle_de_doenas_instituto_lauro_de_souza_lima,governo executivo estadual saude,http://www.ilsl.br,"","","Endereço: Rodovia Comandante João Ribeiro Barros, Km 225/226 - Bauru - SP - CEP: # Telefone: (14) 3103-5900",2013-03-02 13:41:23 -0300,2013-03-02 13:41:23 -0300,1
Corpo de Bombeiros do Estado de São Paulo,"",corpo_de_bombeiros_do_estado_de_so_paulo,governo executivo estadual,http://www.policiamilitar.sp.gov.br,"","","Endereço: Pça. Clóvis Bevilacqua, 421 - 6º Andar - Sé - São Paulo - SP - CEP: # Telefone: (11) 3396-2000",2013-03-02 13:41:23 -0300,2013-03-02 13:41:23 -0300,1
Corregedoria Geral da Administração do Estado de São Paulo,"",corregedoria_geral_da_administrao_do_estado_de_so_paulo,governo executivo estadual,http://www.sp.gov.br,"","","Endereço: R. Bela Cintra, 847 - 2º Andar - Bela Vista - São Paulo - S P - CEP: # Telefone: (11) 3218-5416",2013-03-02 13:41:22 -0300,2013-03-02 13:41:22 -0300,1
Corregedoria Geral da Polícia Civil do Estado de São Paulo,"",corregedoria_geral_da_polcia_civil_do_estado_de_so_paulo,governo executivo estadual,http://www.policiacivil.sp.gov.br,"","","Endereço: R. da Consolação, 2333 - 13º Andar - Cerqueira César - São Paulo - SP - CEP: # Telefone: (11) 3231-5536",2013-03-02 13:41:23 -0300,2013-03-02 13:41:23 -0300,1
Empresa Brasileira de Correios e Telégrafos,Correios,correios,federal executivo,http://www.correios.com.br,http://www.correios.com.br/sobreCorreios/empresa/acessoinformacao/servicoInformacao/default.cfm,"","Contato: lexandre Casé
Telefone: (61) 3426-2008",2011-10-31 12:45:19 -0200,2012-06-13 12:42:55 -0300,5
Companhia Paulista de Obras e Serviços,CPOS,cpos,governo executivo estadual secretaria moradia,http://www.cpos.sp.gov.br/,"","","Endereço: R. Tangará, 70 - Vila Mariana - São Paulo - SP - CEP: # Telefone: (11) 2139-0106 / 2139-0107",2012-05-23 15:47:38 -0300,2013-03-02 13:41:22 -0300,2
Datasus,"",datasus,executivo federal saude,http://www.datasus.gov.br,"","","Coordenador geral de disseminação de informações de saúde <br>
 Haroldo Lopes dos Santos <br>
 21-3985 7206  <br>
",2011-12-10 11:55:17 -0200,2011-12-10 11:55:17 -0200,1
Departamento Estadual de Infraestrutura de Santa Catarina,DEINFRA SC,deinfra_sc,executivo estadual transporte,http://www.deinfra.sc.gov.br,"","","",2012-02-10 02:26:06 -0200,2012-02-10 02:26:06 -0200,1
Delegacia Geral de Polícia Civil do Estado de São Paulo,"",delegacia_geral_de_polcia_civil_do_estado_de_so_paulo,governo executivo estadual,http://www.sic.sp.gov.br,"","","Endereço: R. Líbero Badaró, 39 - 11º Andar - Centro - São Paulo - SP - CEP: # Telefone: (11) 3291-6531",2013-03-02 13:41:23 -0300,2013-03-02 13:41:23 -0300,1
Departamento Aeroviário do Estado de São Paulo,"",departamento_aerovirio_do_estado_de_so_paulo,governo executivo estadual,http://www.sic.sp.gov.br,"","","Endereço: Av. do Estado, 777 - Térreo - Armênia - São Paulo - SP - CEP: 01107-000 # Telefone: (11) 3311-1480",2013-03-02 13:41:20 -0300,2013-03-02 13:41:20 -0300,1
Departamento de Estradas de Rodagem do Estado de São Paulo,"",departamento_de_estradas_de_rodagem_do_estado_de_so_paulo,governo executivo estadual transporte,http://www.sic.sp.gov.br,"","","Endereço: Av. do Estado, 777 - Térreo - Armênia - São Paulo - SP - CEP: 01107-000 # Telefone: (11) 3311-1480",2013-03-02 13:41:20 -0300,2013-03-02 13:41:20 -0300,1
Departamento de Águas e Energia do Estado de São Paulo,"",departamento_de_guas_e_energia_do_estado_de_so_paulo,governo executivo estadual,http://www.sp.gov.br,"","","Endereço: R. Boa Vista, 170 - Bloco 5 - 11º andar - Centro - São Paulo - SP - CEP: 01014-000 # Telefone: (11) 3293-8382",2013-03-02 13:41:20 -0300,2013-03-02 13:41:20 -0300,1
Departamento de Trânsito do Estado de São Paulo,"",departamento_de_trnsito_do_estado_de_so_paulo,governo executivo estadual transporte,http://www.sp.gov.br,"","","Endereço: R. Boa Vista, 32 - 5º Andar - Várzea da Barra Funda - São Paulo - SP - CEP: # Telefone: (11) 3627-7285",2013-03-02 13:41:23 -0300,2013-03-02 13:41:23 -0300,1
Agência de Desenvolvimento Paulista,DESENVOLVE SP,desenvolve_sp,economia estadual executivo governo,http://desenvolvesp.com.br/,"","","Endereço: R. da Consolação, 371 - Centro - São Paulo - SP - CEP: 01301-000 # Telefone: (11) 3123-6048",2013-03-02 13:41:22 -0300,2013-03-04 14:45:24 -0300,2
Desenvolvimento Rodoviário de São Paulo,"",desenvolvimento_rodovirio_de_so_paulo,governo executivo estadual transporte,http://www.dersa.sp.gov.br,"","","Endereço: R. Iaiá, 126 - Itaim Bibi - São Paulo - SP - CEP: # Telefone: 0800-726-6300",2013-03-02 13:41:22 -0300,2013-03-02 13:41:22 -0300,1
Departamento Estadual de Trânsito de São Paulo,DETRAN,detran,transporte secretaria governo executivo estadual,http://www.detran.sp.gov.br/,"","","",2012-05-23 15:47:39 -0300,2012-05-23 15:55:47 -0300,2
Transporte Urbano do Distrito Federal,DFTRANS,dftrans,executivo estadual transporte,http://www.dftrans.df.gov.br/,"","","",2012-05-24 15:10:08 -0300,2012-05-24 15:10:08 -0300,1
Diretoria de Ensino Centro,"",diretoria_de_ensino_centro,governo executivo estadual educacao,http://www.sic.edecacao.sp.gov.br,"","","Endereço: Olavo Fontoura, 2222 - Vila Baruel - São Paulo - SP - CEP: # Telefone: (11) 3804-5061",2013-03-02 13:41:24 -0300,2013-03-02 13:41:24 -0300,1
Diretoria de Ensino Centro Sul,"",diretoria_de_ensino_centro_sul,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Dom Antônio Galvão, 95 - Vila Gumercindo - São Paulo - SP - CEP: # Telefone: (11) 5591-2035",2013-03-02 13:41:24 -0300,2013-03-02 13:41:24 -0300,1
Diretoria de Ensino de Adamantina,"",diretoria_de_ensino_de_adamantina,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Alameda Braulio Molina Frias, 120 - Adamantina - SP - CEP: # Telefone: (18) 3502-2304",2013-03-02 13:41:27 -0300,2013-03-02 13:41:27 -0300,1
Diretoria de Ensino de Americana,"",diretoria_de_ensino_de_americana,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Duque de Caxias, 600 - Vila Santa Catarina - Americana - SP - CEP: # Telefone: (19) 3471-6149",2013-03-02 13:41:27 -0300,2013-03-02 13:41:27 -0300,1
Diretoria de Ensino de Andradina,"",diretoria_de_ensino_de_andradina,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Regente Feijó, 2160 - Centro - Andradina - SP - CEP: # Telefone: (18) 3702-1422",2013-03-02 13:41:28 -0300,2013-03-02 13:41:28 -0300,1
Diretoria de Ensino de Apiai,"",diretoria_de_ensino_de_apiai,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: R. Major Carneiro, 96 - Centro - Apiaí - SP - CEP: # Telefone: (15) 3552-8318",2013-03-02 13:41:28 -0300,2013-03-02 13:41:28 -0300,1
Diretoria de Ensino de Araçatuba,"",diretoria_de_ensino_de_araatuba,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Antônio João, 130 - Vila Bandeirantes - Araçatuba - SP - CEP: # Telefone: (18) 3607-7456",2013-03-02 13:41:28 -0300,2013-03-02 13:41:28 -0300,1
Diretoria de Ensino de Araraquara,"",diretoria_de_ensino_de_araraquara,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Gonçalves Dias, 291 - Centro - Araraquara - SP - CEP: # Telefone: (16) 3336-0537",2013-03-02 13:41:28 -0300,2013-03-02 13:41:28 -0300,1
Diretoria de Ensino de Assis,"",diretoria_de_ensino_de_assis,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Padre Gusmões, 828 - Vila Santa Cecília - Assis - SP - CEP: # Telefone: (18) 3302-1403",2013-03-02 13:41:28 -0300,2013-03-02 13:41:28 -0300,1
Diretoria de Ensino de Avaré,"",diretoria_de_ensino_de_avar,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Prefeito Misael Eufrásio Leal, 857 - Centro - Avaré - SP - CEP: # Telefone: (14) 3711-2108",2013-03-02 13:41:28 -0300,2013-03-02 13:41:28 -0300,1
Diretoria de Ensino de Barretos,"",diretoria_de_ensino_de_barretos,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Coronel Silvestre de Lima, 475 - Nogueira - Barretos - SP - CEP: # Telefone: (17) 3321-0136",2013-03-02 13:41:28 -0300,2013-03-02 13:41:28 -0300,1
Diretoria de Ensino de Bauru,"",diretoria_de_ensino_de_bauru,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Campos Salles, 943 - Vila Falcão - Bauru - SP - CEP: # Telefone: (14) 3108-0003",2013-03-02 13:41:28 -0300,2013-03-02 13:41:28 -0300,1
Diretoria de Ensino de Birigui,"",diretoria_de_ensino_de_birigui,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: São Francisco, 433 - Jardim Pérola - Birigüi - SP - CEP: # Telefone: (18) 3634-9003",2013-03-02 13:41:29 -0300,2013-03-02 13:41:29 -0300,1
Diretoria de Ensino de Botucatu,"",diretoria_de_ensino_de_botucatu,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: da Bandeira, s/nº - Jardim Central - Botucatu - SP - CEP: # Telefone: (11) 3811-3249",2013-03-02 13:41:29 -0300,2013-03-02 13:41:29 -0300,1
Diretoria de Ensino de Bragança Paulista,"",diretoria_de_ensino_de_bragana_paulista,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: José Gomes da Rocha Leal, 1757 - Centro - Bragança Paulista - SP - CEP: # Telefone: (11) 4034-7742",2013-03-02 13:41:29 -0300,2013-03-02 13:41:29 -0300,1
Diretoria de Ensino de Caieiras,"",diretoria_de_ensino_de_caieiras,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Professor Carvalho Pinto, 181 - Região Central - Caieiras - SP - CEP: # Telefone: (11) 4605-3131",2013-03-02 13:41:24 -0300,2013-03-02 13:41:24 -0300,1
Diretoria de Ensino de Campinas Leste,"",diretoria_de_ensino_de_campinas_leste,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Rafael Sampaio, 485 - Vila Rossi - Campinas - SP - CEP: # Telefone: (19) 3471-4112",2013-03-02 13:41:29 -0300,2013-03-02 13:41:29 -0300,1
Diretoria de Ensino de Campinas Oeste,"",diretoria_de_ensino_de_campinas_oeste,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Cândido Mota, 186 - Fundação da Casa Popular - Campinas - SP - CEP: # Telefone: (19) 3772-2798",2013-03-02 13:41:29 -0300,2013-03-02 13:41:29 -0300,1
Diretoria de Ensino de Capivari,"",diretoria_de_ensino_de_capivari,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: R. Regente Feijó, 773 - Centro - Capivari - SP - CEP: # Telefone: (19) 3491-9210",2013-03-02 13:41:29 -0300,2013-03-02 13:41:29 -0300,1
Diretoria de Ensino de Caraguatatuba,"",diretoria_de_ensino_de_caraguatatuba,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Alagoas, 539 - Indaiá - Caraguatatuba - SP - CEP: # Telefone: (12) 3886-3660",2013-03-02 13:41:29 -0300,2013-03-02 13:41:29 -0300,1
Diretoria de Ensino de Carapicuíba,"",diretoria_de_ensino_de_carapicuba,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Campo Grande, 181 - Conjunto Habitacional Presidente Castelo Branco - Carapicuíba - SP - CEP: # Telefone: (11) 2089-8147 ",2013-03-02 13:41:23 -0300,2013-03-02 13:41:23 -0300,1
Diretoria de Ensino de Catanduva,"",diretoria_de_ensino_de_catanduva,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Recife, 1113 - Centro - Catanduva - SP - CEP: # Telefone: (17) 3531-1924",2013-03-02 13:41:29 -0300,2013-03-02 13:41:29 -0300,1
Diretoria de Ensino de Diadema,"",diretoria_de_ensino_de_diadema,governo executivo estadual educacao,http://www.sic.educacao.sp.gov.br,"","","Endereço: Pero Vaz de Caminha, 113 - Vila Nogueira - Diadema - SP - CEP: # Telefone: (11) 4053-3809",2013-03-02 13:41:24 -0300,2013-03-02 13:41:24 -0300,1
